,STATION,AWND,AVG PRECIP,TOTAL PRECIP,AVG SNOW,TOTAL SNOW,AVG TEMP,AVG MAX TEMP,MAX TEMP,AVG MIN TEMP,MIN TEMP,TAVG2,LATITUDE,LONGITUDE,ELEVATION,Begin,End,fire
0,USC00045091,5.363064516,0.07142857143,0.5,0.5407216495,3.785051547,47.37634409,41.71428571,50.0,27.14285714,16.0,34.42857143,33.81299,-116.64193,2554.2,2017-01-01,2017-01-07,None
1,USC00045091,5.363064516,0.24,1.2,8.0,16.0,47.37634409,42.85714286,53.0,31.28571429,22.0,37.07142857,33.81299,-116.64193,2554.2,2017-01-08,2017-01-14,None
2,USC00045091,5.363064516,0.4971428571,3.48,13.2,39.6,47.37634409,35.33333333,46.0,11.16666667,5.0,23.25,33.81299,-116.64193,2554.2,2017-01-15,2017-01-21,None
3,USC00045091,5.363064516,0.7414285714,5.19,11.0,33.0,47.37634409,34.85714286,40.0,9.285714286,-2.0,22.07142857,33.81299,-116.64193,2554.2,2017-01-22,2017-01-28,None
4,USC00045091,5.309969758,0.07714285714,0.54,0.8,4.0,49.58102919,53.14285714,56.0,24.42857143,18.0,38.78571429,33.81299,-116.64193,2554.2,2017-01-29,2017-02-04,None
5,USC00045091,5.256875,0.1571428571,1.1,1.142857143,8.0,51.78571429,53.28571429,67.0,32.28571429,22.0,42.78571429,33.81299,-116.64193,2554.2,2017-02-05,2017-02-11,None
6,USC00045091,5.256875,0.21,1.47,2.428571429,17.0,51.78571429,50.14285714,56.0,25.57142857,20.0,37.85714286,33.81299,-116.64193,2554.2,2017-02-12,2017-02-18,None
7,USC00045091,5.256875,0.0,0.0,0.0,0.0,51.78571429,42.28571429,48.0,27.71428571,10.0,35.0,33.81299,-116.64193,2554.2,2017-02-19,2017-02-25,None
8,USC00045091,5.839485887,0.3571428571,2.5,2.5,17.5,55.46633385,47.14285714,56.0,19.42857143,10.0,33.28571429,33.81299,-116.64193,2554.2,2017-02-26,2017-03-04,None
9,USC00045091,6.422096774,0.007142857143,0.05,0.08333333333,0.5,59.14695341,56.28571429,65.0,29.14285714,20.0,42.71428571,33.81299,-116.64193,2554.2,2017-03-05,2017-03-11,None
10,USC00045091,6.422096774,0.0,0.0,0.0,0.0,59.14695341,66.57142857,78.0,29.42857143,26.0,48.0,33.81299,-116.64193,2554.2,2017-03-12,2017-03-18,None
11,USC00045091,6.422096774,0.002857142857,0.02,0.0,0.0,59.14695341,58.57142857,70.0,28.85714286,20.0,43.71428571,33.81299,-116.64193,2554.2,2017-03-19,2017-03-25,None
12,USC00045091,7.059340054,0.0,0.0,0.0,0.0,60.44419914,60.57142857,70.0,25.14285714,18.0,42.85714286,33.81299,-116.64193,2554.2,2017-03-26,2017-04-01,None
13,USC00045091,7.696583333,0.0,0.0,0.0,0.0,61.74144487,58.0,68.0,37.28571429,28.0,47.64285714,33.81299,-116.64193,2554.2,2017-04-02,2017-04-08,None
14,USC00045091,7.696583333,0.0,0.0,0.0,0.0,61.74144487,60.71428571,65.0,30.14285714,25.0,45.42857143,33.81299,-116.64193,2554.2,2017-04-09,2017-04-15,None
15,USC00045091,7.696583333,0.0,0.0,0.0,0.0,61.74144487,60.14285714,66.0,34.28571429,32.0,47.21428571,33.81299,-116.64193,2554.2,2017-04-16,2017-04-22,None
16,USC00045091,7.696583333,0.0,0.0,0.0,0.0,61.74144487,64.85714286,70.0,36.71428571,23.0,50.78571429,33.81299,-116.64193,2554.2,2017-04-23,2017-04-29,None
17,USC00045091,7.835912634,0.0,0.0,0.0,0.0,63.25003278,67.71428571,74.0,36.85714286,30.0,52.28571429,33.81299,-116.64193,2554.2,2017-04-30,2017-05-06,None
18,USC00045091,7.975241935,0.1285714286,0.9,0.6833333333,4.1,64.75862069,63.71428571,70.0,34.71428571,18.0,49.21428571,33.81299,-116.64193,2554.2,2017-05-07,2017-05-13,None
19,USC00045091,7.975241935,0.0,0.0,0.0,0.0,64.75862069,62.0,68.0,35.0,26.0,48.5,33.81299,-116.64193,2554.2,2017-05-14,2017-05-20,minor
20,USC00045091,7.975241935,0.0,0.0,0.0,0.0,64.75862069,74.57142857,79.0,45.42857143,39.0,60.0,33.81299,-116.64193,2554.2,2017-05-21,2017-05-27,minor
21,USC00045091,7.738037634,0.0,0.0,0.0,0.0,70.44042146,68.71428571,75.0,41.14285714,36.0,54.92857143,33.81299,-116.64193,2554.2,2017-05-28,2017-06-03,minor
22,USC00045091,7.500833333,0.0,0.0,0.0,0.0,76.12222222,75.57142857,77.0,46.71428571,40.0,61.14285714,33.81299,-116.64193,2554.2,2017-06-04,2017-06-10,minor
23,USC00045091,7.500833333,0.0,0.0,0.0,0.0,76.12222222,77.57142857,85.0,40.57142857,38.0,59.07142857,33.81299,-116.64193,2554.2,2017-06-11,2017-06-17,minor
24,USC00045091,7.500833333,0.0,0.0,0.0,0.0,76.12222222,87.42857143,90.0,58.71428571,55.0,73.07142857,33.81299,-116.64193,2554.2,2017-06-18,2017-06-24,minor
25,USC00045091,7.357513441,0.0,0.0,0.0,0.0,78.54856631,82.42857143,87.0,52.71428571,44.0,67.57142857,33.81299,-116.64193,2554.2,2017-06-25,2017-07-01,minor
26,USC00045091,7.214193548,0.0,0.0,0.0,0.0,80.97491039,82.28571429,86.0,53.14285714,51.0,67.71428571,33.81299,-116.64193,2554.2,2017-07-02,2017-07-08,minor
27,USC00045091,7.214193548,0.0,0.0,0.0,0.0,80.97491039,83.0,85.0,53.42857143,50.0,68.21428571,33.81299,-116.64193,2554.2,2017-07-09,2017-07-15,None
28,USC00045091,7.214193548,0.0,0.0,0.0,0.0,80.97491039,80.57142857,84.0,52.85714286,50.0,66.71428571,33.81299,-116.64193,2554.2,2017-07-16,2017-07-22,None
29,USC00045091,7.214193548,0.0,0.0,0.0,0.0,80.97491039,77.2,82.0,51.2,50.0,64.2,33.81299,-116.64193,2554.2,2017-07-23,2017-07-29,None
