STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,startindex,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00053151,"FALLBROOK 5 NE, CA US",33.4392,-117.1904,347.5,679,679 - USW00053151,510 - USR0000CSRO,1457 - USR0000CELC,1542 - USC00042805,1797 - USC00043896,1882 - USC00047813,849 - USR0000CCRT,1102 - USR0000CKEE,594 - USR0000CANZ,2052 - USR0000CCLK,1372 - USC00044211,1627 - USR0000CBEU,38 - USC00047470,1287 - USW00003171,2 - USC00045091,1267 - USC00046635,764 - USW00093138,934 - USC00044259,297 - USW00003104,1187 - USC00045502,85 - USR0000CLHO,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USW00093138,"PALM SPRINGS ASOS, CA US",33.82216,-116.50433,124.7,764,764 - USW00093138,1267 - USC00046635,2 - USC00045091,1372 - USC00044211,934 - USC00044259,1102 - USR0000CKEE,849 - USR0000CCRT,594 - USR0000CANZ,85 - USR0000CLHO,1797 - USC00043896,297 - USW00003104,1627 - USR0000CBEU,1882 - USC00047813,1187 - USC00045502,2052 - USR0000CCLK,425 - USC00041738,510 - USR0000CSRO,679 - USW00053151,1542 - USC00042805,1967 - USC00043855,38 - USC00047470,1457 - USR0000CELC,1287 - USW00003171,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USR0000CCRT,"CRANSTON CALIFORNIA, CA US",33.7403,-116.8414,594.4,849,849 - USR0000CCRT,1797 - USC00043896,1102 - USR0000CKEE,1372 - USC00044211,1882 - USC00047813,2 - USC00045091,1627 - USR0000CBEU,594 - USR0000CANZ,1267 - USC00046635,764 - USW00093138,510 - USR0000CSRO,2052 - USR0000CCLK,679 - USW00053151,1542 - USC00042805,1457 - USR0000CELC,38 - USC00047470,934 - USC00044259,1287 - USW00003171,297 - USW00003104,85 - USR0000CLHO,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USC00044259,"INDIO FIRE STATION, CA US",33.7086,-116.2152,-6.4,934,934 - USC00044259,297 - USW00003104,1187 - USC00045502,764 - USW00093138,1267 - USC00046635,85 - USR0000CLHO,2 - USC00045091,594 - USR0000CANZ,1372 - USC00044211,425 - USC00041738,1102 - USR0000CKEE,1967 - USC00043855,849 - USR0000CCRT,1797 - USC00043896,1882 - USC00047813,1019 - USC00042598,1627 - USR0000CBEU,170 - USC00042410,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USC00042598,"EAGLE MOUNTAIN, CA US",33.80807,-115.45138,296.6,1019,1019 - USC00042598,170 - USC00042410,1967 - USC00043855,425 - USC00041738,1187 - USC00045502,297 - USW00003104,1712 - USW00023158,934 - USC00044259,85 - USR0000CLHO,212 - USR0000CRIC,382 - USC00040924,764 - USW00093138,1267 - USC00046635,2 - USC00045091,1372 - USC00044211,594 - USR0000CANZ,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1627 - USR0000CBEU,1882 - USC00047813,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,38 - USC00047470,1457 - USR0000CELC,1287 - USW00003171
USR0000CKEE,"KEENWILD CALIFORNIA, CA US",33.6667,-116.7667,1499.6,1102,1102 - USR0000CKEE,849 - USR0000CCRT,1372 - USC00044211,1797 - USC00043896,594 - USR0000CANZ,2 - USC00045091,1882 - USC00047813,1267 - USC00046635,764 - USW00093138,1627 - USR0000CBEU,510 - USR0000CSRO,679 - USW00053151,934 - USC00044259,1542 - USC00042805,2052 - USR0000CCLK,297 - USW00003104,1457 - USR0000CELC,1187 - USC00045502,38 - USC00047470,85 - USR0000CLHO,1287 - USW00003171,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USC00045502,"MECCA FIRE STATION, CA US",33.5697,-116.073,-55.8,1187,1187 - USC00045502,297 - USW00003104,934 - USC00044259,425 - USC00041738,1967 - USC00043855,764 - USW00093138,1267 - USC00046635,85 - USR0000CLHO,594 - USR0000CANZ,2 - USC00045091,1372 - USC00044211,1019 - USC00042598,1102 - USR0000CKEE,170 - USC00042410,849 - USR0000CCRT,1797 - USC00043896,1882 - USC00047813,1627 - USR0000CBEU,679 - USW00053151,510 - USR0000CSRO,1542 - USC00042805,2052 - USR0000CCLK,1457 - USR0000CELC,1712 - USW00023158,38 - USC00047470,1287 - USW00003171,212 - USR0000CRIC,382 - USC00040924
USC00046635,"PALM SPRINGS, CA US",33.8275,-116.5097,129.5,1267,1267 - USC00046635,764 - USW00093138,2 - USC00045091,1372 - USC00044211,1102 - USR0000CKEE,934 - USC00044259,849 - USR0000CCRT,594 - USR0000CANZ,85 - USR0000CLHO,1797 - USC00043896,297 - USW00003104,1627 - USR0000CBEU,1882 - USC00047813,1187 - USC00045502,2052 - USR0000CCLK,510 - USR0000CSRO,425 - USC00041738,679 - USW00053151,1542 - USC00042805,38 - USC00047470,1967 - USC00043855,1457 - USR0000CELC,1287 - USW00003171,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",33.95282,-117.43523,257.7,1287,1287 - USW00003171,38 - USC00047470,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,1627 - USR0000CBEU,1882 - USC00047813,510 - USR0000CSRO,1797 - USC00043896,849 - USR0000CCRT,679 - USW00053151,1102 - USR0000CKEE,1372 - USC00044211,2 - USC00045091,594 - USR0000CANZ,1267 - USC00046635,764 - USW00093138,85 - USR0000CLHO,934 - USC00044259,297 - USW00003104,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USC00044211,"IDYLLWILD FIRE DEPARTMENT, CA US",33.7572,-116.7066,1639.8,1372,1372 - USC00044211,2 - USC00045091,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1267 - USC00046635,764 - USW00093138,594 - USR0000CANZ,1882 - USC00047813,1627 - USR0000CBEU,934 - USC00044259,297 - USW00003104,510 - USR0000CSRO,85 - USR0000CLHO,679 - USW00053151,2052 - USR0000CCLK,1542 - USC00042805,1187 - USC00045502,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1457,1457 - USR0000CELC,1542 - USC00042805,510 - USR0000CSRO,2052 - USR0000CCLK,679 - USW00053151,38 - USC00047470,1287 - USW00003171,1882 - USC00047813,1797 - USC00043896,1627 - USR0000CBEU,849 - USR0000CCRT,1102 - USR0000CKEE,1372 - USC00044211,594 - USR0000CANZ,2 - USC00045091,1267 - USC00046635,764 - USW00093138,934 - USC00044259,297 - USW00003104,85 - USR0000CLHO,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USC00042805,"ELSINORE, CA US",33.686,-117.3458,386.5,1542,1542 - USC00042805,1457 - USR0000CELC,510 - USR0000CSRO,2052 - USR0000CCLK,38 - USC00047470,1287 - USW00003171,679 - USW00053151,1882 - USC00047813,1797 - USC00043896,1627 - USR0000CBEU,849 - USR0000CCRT,1102 - USR0000CKEE,1372 - USC00044211,594 - USR0000CANZ,2 - USC00045091,1267 - USC00046635,764 - USW00093138,934 - USC00044259,297 - USW00003104,85 - USR0000CLHO,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USR0000CBEU,"BEAUMONT CALIFORNIA, CA US",33.9306,-116.95,793.7,1627,1627 - USR0000CBEU,1882 - USC00047813,1797 - USC00043896,849 - USR0000CCRT,1372 - USC00044211,2 - USC00045091,2052 - USR0000CCLK,1102 - USR0000CKEE,38 - USC00047470,1267 - USC00046635,764 - USW00093138,1287 - USW00003171,1542 - USC00042805,594 - USR0000CANZ,510 - USR0000CSRO,1457 - USR0000CELC,679 - USW00053151,85 - USR0000CLHO,934 - USC00044259,297 - USW00003104,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USW00023158,"BLYTHE ASOS, CA US",33.61876,-114.71451,120.4,1712,1712 - USW00023158,382 - USC00040924,212 - USR0000CRIC,170 - USC00042410,1019 - USC00042598,1967 - USC00043855,425 - USC00041738,1187 - USC00045502,297 - USW00003104,934 - USC00044259,85 - USR0000CLHO,764 - USW00093138,1267 - USC00046635,2 - USC00045091,594 - USR0000CANZ,1372 - USC00044211,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1627 - USR0000CBEU,1882 - USC00047813,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171
USC00043896,"HEMET, CA US",33.7381,-116.8939,552,1797,1797 - USC00043896,849 - USR0000CCRT,1882 - USC00047813,1102 - USR0000CKEE,1372 - USC00044211,1627 - USR0000CBEU,2 - USC00045091,594 - USR0000CANZ,1267 - USC00046635,764 - USW00093138,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,679 - USW00053151,1457 - USR0000CELC,38 - USC00047470,1287 - USW00003171,934 - USC00044259,297 - USW00003104,85 - USR0000CLHO,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,1712 - USW00023158,212 - USR0000CRIC,382 - USC00040924
USC00047813,"SAN JACINTO, CA US",33.7965,-116.9753,464.8,1882,1882 - USC00047813,1797 - USC00043896,849 - USR0000CCRT,1627 - USR0000CBEU,1102 - USR0000CKEE,1372 - USC00044211,2 - USC00045091,2052 - USR0000CCLK,1542 - USC00042805,510 - USR0000CSRO,594 - USR0000CANZ,38 - USC00047470,1267 - USC00046635,1457 - USR0000CELC,764 - USW00093138,679 - USW00053151,1287 - USW00003171,934 - USC00044259,85 - USR0000CLHO,297 - USW00003104,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
USC00043855,"HAYFIELD PUMPING PLANT, CA US",33.7044,-115.6289,417.6,1967,1967 - USC00043855,425 - USC00041738,1019 - USC00042598,170 - USC00042410,1187 - USC00045502,297 - USW00003104,934 - USC00044259,85 - USR0000CLHO,764 - USW00093138,1267 - USC00046635,1712 - USW00023158,212 - USR0000CRIC,2 - USC00045091,382 - USC00040924,594 - USR0000CANZ,1372 - USC00044211,1102 - USR0000CKEE,849 - USR0000CCRT,1797 - USC00043896,1627 - USR0000CBEU,1882 - USC00047813,679 - USW00053151,510 - USR0000CSRO,2052 - USR0000CCLK,1542 - USC00042805,38 - USC00047470,1457 - USR0000CELC,1287 - USW00003171
USR0000CCLK,"CLARK CALIFORNIA, CA US",33.8767,-117.3089,524.3,2052,2052 - USR0000CCLK,38 - USC00047470,1287 - USW00003171,1542 - USC00042805,1457 - USR0000CELC,1882 - USC00047813,1627 - USR0000CBEU,510 - USR0000CSRO,1797 - USC00043896,849 - USR0000CCRT,679 - USW00053151,1102 - USR0000CKEE,1372 - USC00044211,2 - USC00045091,594 - USR0000CANZ,1267 - USC00046635,764 - USW00093138,934 - USC00044259,85 - USR0000CLHO,297 - USW00003104,1187 - USC00045502,425 - USC00041738,1967 - USC00043855,1019 - USC00042598,170 - USC00042410,212 - USR0000CRIC,1712 - USW00023158,382 - USC00040924
